work_key,author,title,group,code
1|anon|navstiveni-krasy-italska-renesancni-lyrika,,"Navštívení krásy. Italská renesanční lyrika",forma,
1|anon|navstiveni-krasy-italska-renesancni-lyrika,,"Navštívení krásy. Italská renesanční lyrika",podobdobi,
1|anon|novy-zakon,,"Nový zákon",narodni,
1|anon|novy-zakon,,"Nový zákon",forma,
1|anon|novy-zakon,,"Nový zákon",podobdobi,
1|ovidius-naso-publius|promeny,"OVIDIUS NASO, Publius",Proměny,narodni,
1|ovidius-naso-publius|promeny,"OVIDIUS NASO, Publius",Proměny,forma,
1|ovidius-naso-publius|promeny,"OVIDIUS NASO, Publius",Proměny,podobdobi,
1|petronius|satyrikon,PETRONIUS,Satyrikon,narodni,
1|petronius|satyrikon,PETRONIUS,Satyrikon,forma,
1|petronius|satyrikon,PETRONIUS,Satyrikon,podobdobi,
1|anon|pisen-o-cidovi,,"Píseň o Cidovi",narodni,
1|anon|pisen-o-cidovi,,"Píseň o Cidovi",forma,
1|anon|pisen-o-cidovi,,"Píseň o Cidovi",podobdobi,
1|anon|pisen-o-nibelunzich,,"Píseň o Nibelunzích",narodni,
1|anon|pisen-o-nibelunzich,,"Píseň o Nibelunzích",forma,
1|anon|pisen-o-nibelunzich,,"Píseň o Nibelunzích",podobdobi,
1|anon|pisen-o-rolandovi,,"Píseň o Rolandovi",narodni,
1|anon|pisen-o-rolandovi,,"Píseň o Rolandovi",forma,
1|anon|pisen-o-rolandovi,,"Píseň o Rolandovi",podobdobi,
1|polo-marco|milion,"POLO, Marco",Milion,narodni,
1|polo-marco|milion,"POLO, Marco",Milion,forma,
1|polo-marco|milion,"POLO, Marco",Milion,podobdobi,
1|anon|putovani-za-svatym-gralem,,"Putování za svatým grálem",narodni,
1|anon|putovani-za-svatym-gralem,,"Putování za svatým grálem",forma,
1|anon|putovani-za-svatym-gralem,,"Putování za svatým grálem",podobdobi,
1|rabelais-francois|zivot-gargantuuv-a-zivot-pantagrueluv,"RABELAIS, Francois","Život Gargantuův a život Pantagruelův",narodni,
1|rabelais-francois|zivot-gargantuuv-a-zivot-pantagrueluv,"RABELAIS, Francois","Život Gargantuův a život Pantagruelův",forma,
1|rabelais-francois|zivot-gargantuuv-a-zivot-pantagrueluv,"RABELAIS, Francois","Život Gargantuův a život Pantagruelův",podobdobi,
1|shakespeare-william|hamlet,"SHAKESPEARE, William",Hamlet,narodni,
1|shakespeare-william|hamlet,"SHAKESPEARE, William",Hamlet,forma,
1|shakespeare-william|hamlet,"SHAKESPEARE, William",Hamlet,podobdobi,
1|shakespeare-william|kral-lear,"SHAKESPEARE, William","Král Lear",narodni,
1|shakespeare-william|kral-lear,"SHAKESPEARE, William","Král Lear",forma,
1|shakespeare-william|kral-lear,"SHAKESPEARE, William","Král Lear",podobdobi,
1|shakespeare-william|macbeth,"SHAKESPEARE, William",Macbeth,narodni,
1|shakespeare-william|macbeth,"SHAKESPEARE, William",Macbeth,forma,
1|shakespeare-william|macbeth,"SHAKESPEARE, William",Macbeth,podobdobi,
1|shakespeare-william|romeo-a-julie,"SHAKESPEARE, William","Romeo a Julie",narodni,
1|shakespeare-william|romeo-a-julie,"SHAKESPEARE, William","Romeo a Julie",forma,
1|shakespeare-william|romeo-a-julie,"SHAKESPEARE, William","Romeo a Julie",podobdobi,
1|shakespeare-william|othello,"SHAKESPEARE, William",Othello,narodni,
1|shakespeare-william|othello,"SHAKESPEARE, William",Othello,forma,
1|shakespeare-william|othello,"SHAKESPEARE, William",Othello,podobdobi,
1|shakespeare-william|kupec-benatsky,"SHAKESPEARE, William","Kupec benátský",narodni,
1|shakespeare-william|kupec-benatsky,"SHAKESPEARE, William","Kupec benátský",forma,
1|shakespeare-william|kupec-benatsky,"SHAKESPEARE, William","Kupec benátský",podobdobi,
1|shakespeare-william|sen-noci-svatojanske,"SHAKESPEARE, William","Sen noci svatojánské",narodni,
1|shakespeare-william|sen-noci-svatojanske,"SHAKESPEARE, William","Sen noci svatojánské",forma,
1|shakespeare-william|sen-noci-svatojanske,"SHAKESPEARE, William","Sen noci svatojánské",podobdobi,
1|shakespeare-william|zkroceni-zle-zeny,"SHAKESPEARE, William","Zkrocení zlé ženy",narodni,
1|shakespeare-william|zkroceni-zle-zeny,"SHAKESPEARE, William","Zkrocení zlé ženy",forma,
1|shakespeare-william|zkroceni-zle-zeny,"SHAKESPEARE, William","Zkrocení zlé ženy",podobdobi,
1|shakespeare-william|boure,"SHAKESPEARE, William",Bouře,narodni,
1|shakespeare-william|boure,"SHAKESPEARE, William",Bouře,forma,
1|shakespeare-william|boure,"SHAKESPEARE, William",Bouře,podobdobi,
1|shakespeare-william|sonety,"SHAKESPEARE, William",Sonety,narodni,
1|shakespeare-william|sonety,"SHAKESPEARE, William",Sonety,forma,
1|shakespeare-william|sonety,"SHAKESPEARE, William",Sonety,podobdobi,
1|anon|sir-gawain-a-zeleny-rytir,,"Sir Gawain a Zelený rytíř",narodni,
1|anon|sir-gawain-a-zeleny-rytir,,"Sir Gawain a Zelený rytíř",forma,
1|anon|sir-gawain-a-zeleny-rytir,,"Sir Gawain a Zelený rytíř",podobdobi,
1|anon|smich-stare-francie-soubor-stredovekych-fabliaux,,"Smích staré Francie. Soubor středověkých fabliaux",narodni,
1|anon|smich-stare-francie-soubor-stredovekych-fabliaux,,"Smích staré Francie. Soubor středověkých fabliaux",forma,
1|anon|smich-stare-francie-soubor-stredovekych-fabliaux,,"Smích staré Francie. Soubor středověkých fabliaux",podobdobi,
1|sofokles|kral-oidipus,SOFOKLES,"Král Oidipus",narodni,
1|sofokles|kral-oidipus,SOFOKLES,"Král Oidipus",forma,
1|sofokles|kral-oidipus,SOFOKLES,"Král Oidipus",podobdobi,
1|sofokles|antigona,SOFOKLES,Antigona,narodni,
1|sofokles|antigona,SOFOKLES,Antigona,forma,
1|sofokles|antigona,SOFOKLES,Antigona,podobdobi,
1|sofokles|elektra,SOFOKLES,Elektra,narodni,
1|sofokles|elektra,SOFOKLES,Elektra,forma,
1|sofokles|elektra,SOFOKLES,Elektra,podobdobi,
1|anon|stary-zakon,,"Starý zákon",narodni,
1|anon|stary-zakon,,"Starý zákon",forma,
1|anon|stary-zakon,,"Starý zákon",podobdobi,
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence","Život a názory blahorodého pana Tristrama Shandyho",narodni,
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence","Život a názory blahorodého pana Tristrama Shandyho",forma,
1|sterne-laurence|zivot-a-nazory-blahorodeho-pana-tristrama-shandyho,"STERNE, Laurence","Život a názory blahorodého pana Tristrama Shandyho",podobdobi,
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan","Gulliverovy cesty",narodni,
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan","Gulliverovy cesty",forma,
1|swift-jonathan|gulliverovy-cesty,"SWIFT, Jonathan","Gulliverovy cesty",podobdobi,
1|vaclav-vratislav-z-mitrovic|prihody-vaclava-vratislava-z-mitrovic-vergilius-aeneis,"VÁCLAV VRATISLAV Z MITROVIC","Příhody Václava Vratislava z Mitrovic VERGILIUS: Aeneis",narodni,
1|vaclav-vratislav-z-mitrovic|prihody-vaclava-vratislava-z-mitrovic-vergilius-aeneis,"VÁCLAV VRATISLAV Z MITROVIC","Příhody Václava Vratislava z Mitrovic VERGILIUS: Aeneis",podobdobi,
1|villon-francois|basne,"VILLON, Francois",Básně,narodni,
