work_key,author,title,group,code
2|hoffmann-e-t-a|dabluv-elixir,"HOFFMANN, E. T. A.",Ďáblův elixír,forma,proza
2|hugo-victor|chram-matky-bozi-v-parizi,"HUGO, Victor",Chrám Matky Boží v Paříži,forma,proza
2|hugo-victor|bidnici,"HUGO, Victor",Bídníci,forma,proza
2|huysmans-joris-karl|naruby,"HUYSMANS, Joris Karl",Naruby,forma,proza
2|ibsen-henrik|nora,"IBSEN, Henrik",Nora,forma,drama
2|ibsen-henrik|divoka-kachna,"IBSEN, Henrik",Divoká kachna,forma,drama
2|lermontov-michail-jurjevic|hrdina-nasi-doby,"LERMONTOV, Michail Jurjevič",Hrdina naší doby,forma,proza
2|lermontov-michail-jurjevic|demon,"LERMONTOV, Michail Jurjevič",Démon,forma,poezie
2|maupassant-guy-de|milacek,"MAUPASSANT, Guy de",Miláček,forma,proza
2|maupassant-guy-de|dabel-a-jine-povidky,"MAUPASSANT, Guy de",Ďábel a jiné povídky,forma,proza
2|melville-herman|bila-velryba,"MELVILLE, Herman",Bílá velryba,forma,proza
2|nietzsche-friedrich|tak-pravil-zarathustra,"NIETZSCHE, Friedrich",Tak pravil Zarathustra,forma,proza
2|puskin-alexandr-sergejevic|medeny-jezdec,"PUŠKIN, Alexandr Sergejevič",Měděný jezdec,forma,poezie
2|rimbaud-arthur|sezona-v-pekle-iluminace-dopisy-vidouciho,"RIMBAUD, Arthur",Sezóna v pekle + Iluminace + Dopisy vidoucího,forma,poezie
2|shelley-percy-bysshe|odpoutany-prometheus,"SHELLEY, Percy Bysshe",Odpoutaný Prométheus,forma,drama
2|shelleyova-mary|frankenstein,"SHELLEYOVÁ, Mary",Frankenstein,forma,proza
2|stendhal|cerveny-a-cerny,STENDHAL,Červený a černý,forma,proza
2|stoker-bram|dracula,"STOKER, Bram",Dracula,forma,proza
2|tolstoj-lev-nikolajevic|anna-karenina,"TOLSTOJ, Lev Nikolajevič",Anna Karenina,forma,proza
2|verlaine-paul|slova-na-strunach,"VERLAINE, Paul",Slova na strunách,forma,poezie
2|whitman-walt|stebla-travy,"WHITMAN, Walt",Stébla trávy,forma,poezie
2|wilde-oscar|obraz-doriana-graye,"WILDE, Oscar",Obraz Doriana Graye,forma,proza
2|zola-emile|zabijak,"ZOLA, Émile",Zabiják,forma,proza
3|arbes-jakub|romaneta,"ARBES, Jakub",Romaneta,forma,proza
3|capek-chod-karel-matej|kaspar-len-mstitel,"ČAPEK CHOD, Karel Matěj",Kašpar Lén mstitel,forma,proza
3|havlicek-borovsky-karel|velke-satiry,"HAVLÍČEK BOROVSKÝ, Karel",Velké satiry,forma,poezie
3|hlavacek-karel|hral-kdosi-na-hoboj,"HLAVÁČEK, Karel",Hrál kdosi na hoboj,forma,poezie
3|jirasek-alois|temno,"JIRÁSEK, Alois",Temno,forma,proza
3|karasek-ze-lvovic-jiri|goticka-duse,"KARÁSEK ZE LVOVIC, Jiří",Gotická duše,forma,proza
3|kollar-jan|slavy-dcera,"KOLLÁR, Ján",Slávy dcera,forma,poezie
3|macha-karel-hynek|maj,"MÁCHA, Karel Hynek",Máj,forma,poezie
3|macha-karel-hynek|pout-krkonosska-vecer-na-bezdezu,"MÁCHA, Karel Hynek",Pouť krkonošská + Večer na Bezdězu,forma,proza
3|mrstikove-alois-a-vilem|marysa,"MRŠTÍKOVÉ, Alois a Vilém",Maryša,forma,drama
3|nemcova-bozena|babicka,"NĚMCOVÁ, Božena",Babička,forma,proza
3|rais-karel-vaclav|kalibuv-zlocin,"RAIS, Karel Václav",Kalibův zločin,forma,proza
3|anon|rukopisy-kralovedvorsky-a-zelenohorsky,,Rukopisy královédvorský a zelenohorský,forma,poezie
3|winter-zikmund|mistr-kampanus,"WINTER, Zikmund",Mistr Kampanus,forma,proza
3|zeyer-julius|tri-legendy-o-krucifixu,"ZEYER, Julius",Tři legendy o krucifixu,forma,proza
4|albee-edward|kdo-se-boji-virginie-woolfove,"ALBEE, Edward",Kdo se bojí Virginie Woolfové,narodni,svetova
4|beckett-samuel|cekani-na-godota,"BECKETT, Samuel",Čekání na Godota,narodni,svetova
4|bernhard-thomas|namesti-hrdinu,"BERNHARD, Thomas",Náměstí hrdinů,narodni,svetova
4|capek-karel|r-u-r,"ČAPEK, Karel",R.U.R.,narodni,ceska
4|durrenmatt-friedrich|navsteva-stare-damy,"DÜRRENMATT, Friedrich",Návštěva staré dámy,narodni,svetova
4|havel-vaclav|zahradni-slavnost,"HAVEL, Václav",Zahradní slavnost,narodni,ceska
4|havel-vaclav|ztizena-moznost-soustredeni,"HAVEL, Václav",Ztížená možnost soustředění,narodni,ceska
4|havel-vaclav|tzv-vankovky,"HAVEL, Václav",tzv. vaňkovky,narodni,ceska
4|havel-vaclav|odchazeni,"HAVEL, Václav",Odcházení,narodni,ceska
4|havel-vaclav|pokouseni,"HAVEL, Václav",Pokoušení,narodni,ceska
4|ionesco-eugene|zidle,"IONESCO, Eugène",Židle,narodni,svetova
4|ionesco-eugene|plesata-zpevacka,"IONESCO, Eugène",Plešatá zpěvačka,narodni,svetova
4|jarry-alfred|ubu-kralem,"JARRY, Alfred",Ubu králem,narodni,svetova
4|langer-frantisek|periferie,"LANGER, František",Periferie,narodni,ceska
4|o-neill-eugene|cesta-dlouhym-dnem-do-noci,"O'NEILL, Eugene",Cesta dlouhým dnem do noci,narodni,svetova
4|pirandello-luigi|sest-postav-hleda-autora,"PIRANDELLO, Luigi",Šest postav hledá autora,narodni,svetova
4|sartre-jean-paul|mouchy,"SARTRE, Jean-Paul",Mouchy,narodni,svetova
4|sartre-jean-paul|s-vyloucenim-verejnosti,"SARTRE, Jean-Paul",S vyloučením veřejnosti,narodni,svetova
4|strindberg-august|slecna-julie,"STRINDBERG, August",Slečna Julie,narodni,svetova
4|topol-josef|konec-masopustu,"TOPOL, Josef",Konec masopustu,narodni,ceska
4|williams-tennessee|tramvaj-do-stanice-touha,"WILLIAMS, Tennessee",Tramvaj do stanice Touha,narodni,svetova
4|zelenka-petr|pribehy-obycejneho-silenstvi,"ZELENKA, Petr",Příběhy obyčejného šílenství,narodni,ceska
5|apollinaire-guillaume|alkoholy,"APOLLINAIRE, Guillaume",Alkoholy,narodni,svetova
5|antosova-svatava|diktator-pise-basen,"ANTOŠOVÁ, Svatava",Diktátor píše báseň,narodni,ceska
5|bezruc-petr|slezske-pisne,"BEZRUČ, Petr",Slezské písně,narodni,ceska
5|biebl-konstantin|s-lodi-jez-dovazi-caj-a-kavu,"BIEBL, Konstantin","S lodí, jež dováží čaj a kávu",narodni,ceska
5|blatny-ivan|melancholicke-prochazky,"BLATNÝ, Ivan",Melancholické procházky,narodni,ceska
5|borkovec-petr|polni-prace,"BORKOVEC, Petr",Polní práce,narodni,ceska
5|borkovec-petr|herbar-k-cemusi-horsimu,"BORKOVEC, Petr",Herbář k čemusi horšímu,narodni,ceska
5|celan-paul|snezny-part,"CELAN, Paul",Sněžný part,narodni,svetova
5|cvetajeva-marina|pogrom-zivota,"CVETAJEVA, Marina",Pogrom života,narodni,svetova
5|anon|drzice-v-drzych-drzkach-cigarety-mala-antologie-poezie-nemeckeho-expresionismu,,Držíce v drzých držkách cigarety. Malá antologie poezie německého expresionismu,narodni,svetova
5|dezinsky-milan|slovnik-noci,"DĚŽINSKÝ, Milan",Slovník noci,narodni,ceska
5|dolezal-milos|jana-bude-brzy-sbirat-lipovy-kvet,"DOLEŽAL, Miloš",Jana bude brzy sbírat lipový květ,narodni,ceska
5|eliot-thomas-stearns|pusta-zeme,"ELIOT, Thomas Stearns",Pustá země,narodni,svetova
5|fischerova-sylva|svetovy-orloj,"FISCHEROVÁ, Sylva",Světový orloj,narodni,ceska
5|gellner-frantisek|po-nas-at-prijde-potopa,"GELLNER, František",Po nás ať přijde potopa!,narodni,ceska
5|ginsberg-allen|kvileni-a-jine-basne,"GINSBERG, Allen",Kvílení a jiné básně,narodni,svetova
5|grogrova-bohumila|rukopis,"GRÖGROVÁ, Bohumila",Rukopis,narodni,ceska
5|halas-frantisek|kohout-plasi-smrt,"HALAS, František",Kohout plaší smrt,narodni,ceska
5|hejda-zbynek|valse-melancolique,"HEJDA, Zbyněk",Valse melancolique,narodni,ceska
5|holan-vladimir|bolest,"HOLAN, Vladimír",Bolest,narodni,ceska
5|holan-vladimir|noc-s-hamletem,"HOLAN, Vladimír",Noc s Hamletem,narodni,ceska
5|hrabe-vaclav|blues-pro-blaznivou-holku,"HRABĚ, Václav",Blues pro bláznivou holku,narodni,ceska
5|hruska-petr|darmata,"HRUŠKA, Petr",Darmata,narodni,ceska
5|hruska-petr|spatril-jsem-svou-tvar,"HRUŠKA, Petr",Spatřil jsem svou tvář,narodni,ceska
5|jirous-ivan-martin|magorovy-labuti-pisne,"JIROUS, Ivan Martin",Magorovy labutí písně,narodni,ceska
5|jirous-ivan-martin|okuje,"JIROUS, Ivan Martin",Okuje,narodni,ceska
5|kainar-josef|nove-myty,"KAINAR, Josef",Nové mýty,narodni,ceska
5|kolar-jiri|prometheova-jatra,"KOLÁŘ, Jiří",Prométheova játra,narodni,ceska
5|kolmacka-pavel|more,"KOLMAČKA, Pavel",Moře,narodni,ceska
5|krchovsky-jiri|basne,"KRCHOVSKÝ, Jiří",Básně,narodni,ceska
5|morgenstern-christian|sibenicni-pisne,"MORGENSTERN, Christian",Šibeniční písně,narodni,svetova
5|nezval-vitezslav|basne-noci,"NEZVAL, Vítězslav",Básně noci,narodni,ceska
5|nezval-vitezslav|zena-v-mnoznem-cisle,"NEZVAL, Vítězslav",Žena v množném čísle,narodni,ceska
5|novotny-pavel|dedek,"NOVOTNÝ, Pavel",Dědek,narodni,ceska
5|orten-jiri|knihy-versu,"ORTEN, Jiří",Knihy veršů,narodni,ceska
5|anon|podivuhodni-kouzelnici-citanka-ceskeho-stalinismu-v-reci-vazane-z-let-1945-55,,Podivuhodní kouzelníci. Čítanka českého stalinismu v řeči vázané z let 1945–55,narodni,ceska
5|reynek-bohuslav|rty-a-zuby,"REYNEK, Bohuslav",Rty a zuby,narodni,ceska
5|seifert-jaroslav|na-vlnach-tsf,"SEIFERT, Jaroslav",Na vlnách TSF,narodni,ceska
5|seifert-jaroslav|morovy-sloup,"SEIFERT, Jaroslav",Morový sloup,narodni,ceska
5|skacel-jan|co-zbylo-z-andela,"SKÁCEL, Jan",Co zbylo z anděla,narodni,ceska
5|skacel-jan|kdo-pije-potme-vino,"SKÁCEL, Jan",Kdo pije potmě víno,narodni,ceska
5|stancakova-alzbeta|cacak,"STANČÁKOVÁ, Alžběta",Čačak,narodni,ceska
5|siktanc-karel|tanec-smrti,"ŠIKTANC, Karel",Tanec smrti,narodni,ceska
5|topol-jachym|miluju-te-k-zblazneni,"TOPOL, Jáchym",Miluju tě k zbláznění,narodni,ceska
5|wernisch-ivan|zimohradek,"WERNISCH, Ivan",Zimohrádek,narodni,ceska
5|wernisch-ivan|zapadlo-slunce-za-dnem,"WERNISCH, Ivan",Zapadlo slunce za dnem,narodni,ceska
5|wolker-jiri|tezka-hodina,"WOLKER, Jiří",Těžká hodina,narodni,ceska
5|zahradnicek-jan|jeraby,"ZAHRADNÍČEK, Jan",Jeřáby,narodni,ceska
5|zahradnicek-jan|znameni-moci,"ZAHRADNÍČEK, Jan",Znamení moci,narodni,ceska
